投票区番号,住所,施設名
1,東京都西東京市新町五丁目2番7号,新町福祉会館
2,東京都西東京市向台町五丁目4番20号,総合体育館
3,東京都西東京市向台町二丁目14番9号,田無第四中学校
4,東京都西東京市南町二丁目12番37号,柳沢小学校
5,東京都西東京市柳沢三丁目8番22号,柳沢中学校
6,東京都西東京市東伏見六丁目1番28号,東伏見小学校
7,東京都西東京市柳沢一丁目15番1号,柳沢公民館
8,東京都西東京市南町五丁目6番13号,西東京市役所田無庁舎
9,東京都西東京市芝久保町一丁目16番18号,芝久保児童館
10,東京都西東京市芝久保町三丁目7番1号,芝久保小学校
11,東京都西東京市芝久保町五丁目7番1号,けやき小学校
12,東京都西東京市西原町三丁目4番1号,田無第三中学校
13,東京都西東京市田無町四丁目5番21号,田無小学校
14,東京都西東京市田無町三丁目7番2号,J:COMコール田無
15,東京都西東京市北原町一丁目16番2号,北原児童館
16,東京都西東京市保谷町一丁目14番23号,本町小学校
17,東京都西東京市富士町一丁目7番69号,富士町市民集会所
18,東京都西東京市中町四丁目4番16号,なかまち保育園
19,東京都西東京市東町一丁目1番24号,明保中学校
20,東京都西東京市中町一丁目5番1号,防災・保谷保健福祉総合センター
21,東京都西東京市住吉町六丁目15番6号,住吉会館ルピナス
22,東京都西東京市谷戸町一丁目17番27号,谷戸第二小学校
23,東京都西東京市緑町三丁目8番3号,みどり学童クラブ
24,東京都西東京市ひばりが丘二丁目3番4号,ひばりが丘公民館
25,東京都西東京市住吉町三丁目14番14号,すみよし保育園
26,東京都西東京市ひばりが丘北一丁目6番8号,ひばりが丘北児童センター
27,東京都西東京市下保谷一丁目4番4号,保谷第一小学校
28,東京都西東京市下保谷三丁目8番15号,しもほうや保育園
29,東京都西東京市北町二丁目13番17号,青嵐中学校
